Rh,Morph,w1detected,w2detected,Pwdetected,Twdetected,TPdetected,Rpk,RR,RRdb,RRda,RRIrr,w0a,w0d,w0p,w1a,w1d,w1p,w2a,w2d,w2p,Axis,QRSd,QRSa,pw_prof,PR,Pwd,Pwa,Pwdist,Twd,Twa,QT,STdev,TPa,TPf,TPfa,atrial_entr,TPdur,profile,baseline
0.0,17,1,0,1,1,0,466.6666666666667,466.6666666666667,0.0,439.99999999999994,0.0,-134.0,14,9,-49.0,13.0,4.0,,,,-32,90.0,134.0,116.0,140.0,120.0,22.0,2.8280147867413827,140.0,-19.0,475.46666666666664,-23.0,,,,,,1004.0,
0.0,25,1,0,1,1,1,1373.3333333333333,906.6666666666666,439.99999999999994,13.333333333333371,0.04206393718452047,30.0,10,8,-136.0,24.0,7.0,,,,-62,113.33333333333333,152.0,75.0,110.0,90.0,20.0,1.4938407230615525,233.33333333333334,-25.0,421.04,10.0,19.0,4.72412109375,0.00016360124303975744,2.713301967531435,373.3333333333333,1444.0,1656.484962406015
0.0,25,1,0,1,1,1,2293.3333333333335,920.0,13.333333333333371,-23.33333333333337,1.09526609820641,35.0,11,8,-137.0,23.0,6.0,,,,-57,113.33333333333333,160.0,71.0,113.33333333333333,93.33333333333333,20.0,1.2557205325771523,310.0,-26.0,435.65333333333336,12.0,20.0,4.52880859375,0.0002018118659295887,2.88598692781024,396.6666666666667,1558.0,1953.7815126050418
0.0,25,1,0,1,1,1,3190.0,896.6666666666666,-23.33333333333337,-20.0,0.7213804103530775,37.0,11,8,-112.0,23.0,5.0,,,,-48,113.33333333333333,139.0,108.0,200.0,83.33333333333333,10.0,0.49691555918089847,193.33333333333334,-21.0,439.24666666666667,10.0,12.0,5.09033203125,8.63728202596819e-05,2.95529234947752,273.3333333333333,1502.0,2368.836638006668
0.0,25,1,0,1,1,1,4066.6666666666665,876.6666666666666,-20.0,6.6666666666667425,0.5601011603689379,29.0,10,7,-87.0,23.0,4.0,,,,-49,110.0,106.0,120.0,203.33333333333334,80.0,6.0,2.0694171428510906,136.66666666666666,24.0,478.9933333333334,10.0,13.0,5.517578125,0.00014462368211232764,2.9807441562768773,253.33333333333334,1474.0,2420.556107249255
0.0,25,1,0,1,1,1,4950.0,883.3333333333334,6.6666666666667425,16.66666666666663,0.682785888077859,29.0,16,13,-72.0,10.0,5.0,,,,-44,86.66666666666667,87.0,121.0,146.66666666666666,56.666666666666664,6.0,-0.7341618917568482,153.33333333333334,-24.0,481.29999999999995,-10.0,14.0,5.18798828125,9.601919069398322e-05,2.840876076092732,250.0,1559.0,4689.6551724137935
0.0,25,1,0,1,1,1,5850.0,900.0,16.66666666666663,-20.0,0.6011747588511073,35.0,15,12,-82.0,19.0,7.0,,,,-43,113.33333333333333,97.0,130.0,136.66666666666666,116.66666666666667,20.0,2.2569165379802403,200.0,23.0,552.0666666666666,8.0,27.0,5.50537109375,5.013418335480272e-05,3.056507220584926,293.3333333333333,1588.0,4885.192127460169
0.0,0,0,0,1,1,1,6730.0,880.0,-20.0,3.3333333333333712,0.4756082068220796,-116.0,21,9,,,,,,,-90,70.0,116.0,111.0,260.0,120.0,15.0,1.1545377697855717,86.66666666666667,28.0,361.81333333333333,-21.0,15.0,6.38427734375,1.7408363083758422e-05,3.133050215561112,123.33333333333333,1637.0,4473.438956197578
0.0,0,0,0,0,1,1,7613.333333333333,883.3333333333334,3.3333333333333712,6.666666666666629,0.44152499269535855,-126.0,21,9,,,,,,,-90,70.0,126.0,152.0,,,,,186.66666666666666,-26.0,414.6333333333333,-22.0,36.0,11.99951171875,0.00010100374087031525,2.714186734805553,,1636.0,4140.786749482401
0.0,0,0,0,1,1,1,8503.333333333334,890.0,6.666666666666629,10.0,0.20212582467336465,-125.0,26,9,,,,,,,-90,86.66666666666667,125.0,167.0,213.33333333333334,73.33333333333333,8.0,0.44347552442092564,220.0,-27.0,453.60666666666674,-18.0,16.0,5.84716796875,2.333802872351037e-05,3.075275840225477,276.6666666666667,1570.0,2746.987951807229
0.0,25,1,0,1,1,1,9403.333333333334,900.0,10.0,-16.66666666666663,0.1965850370703213,28.0,15,12,-110.0,22.0,6.0,,,,-56,123.33333333333333,131.0,125.0,196.66666666666666,110.0,11.0,2.465174675418579,166.66666666666666,-25.0,445.40000000000003,6.0,18.0,6.09130859375,3.111469770106864e-05,2.729018390072631,223.33333333333334,1519.0,2255.89609205879
0.0,25,1,0,1,1,1,10286.666666666666,883.3333333333334,-16.66666666666663,26.66666666666663,0.0,27.0,12,9,-88.0,24.0,5.0,,,,-52,120.0,105.0,135.0,116.66666666666667,96.66666666666667,20.0,-0.36862450394130697,193.33333333333334,-27.0,477.96666666666664,8.0,18.0,9.06982421875,2.4784831739719516e-05,3.057786004285125,346.6666666666667,1538.0,4038.461538461538
0.0,25,1,0,1,1,1,11196.666666666666,910.0,26.66666666666663,10.0,0.0008081374049091652,27.0,12,9,-131.0,23.0,8.0,,,,-70,116.66666666666667,133.0,100.0,180.0,93.33333333333333,9.0,1.6841873265010232,106.66666666666667,-18.0,433.85999999999996,-8.0,13.0,5.06591796875,3.4848323556127755e-05,2.7882032482145114,256.6666666666667,1485.0,3193.0475539498093
0.0,25,1,0,1,1,1,12116.666666666666,920.0,10.0,16.66666666666663,0.04237687164516433,24.0,12,9,-129.0,23.0,8.0,,,,-73,116.66666666666667,129.0,117.0,110.0,90.0,19.0,1.4729125269433538,196.66666666666666,-25.0,482.32,-12.0,15.0,5.94482421875,1.6702604044507186e-05,2.929827921434659,386.6666666666667,1628.0,3789.0938251804328
0.0,25,1,0,1,1,1,13053.333333333334,936.6666666666666,16.66666666666663,6.6666666666667425,0.19790966006105448,36.0,10,5,-119.0,17.0,5.0,,,,-48,90.0,153.0,166.0,203.33333333333334,80.0,15.0,2.2256545658265736,163.33333333333334,-23.0,426.42,-9.0,15.0,4.77294921875,1.1191229580686822e-05,2.692668277626816,276.6666666666667,1653.0,2669.501535553981
0.0,25,1,0,1,1,1,13996.666666666666,943.3333333333334,6.6666666666667425,0.0,0.3827619860924729,26.0,9,6,-121.0,18.0,6.0,,,,-58,90.0,147.0,122.0,246.66666666666666,133.33333333333334,18.0,0.29363157786421645,203.33333333333334,-23.0,472.06,-12.0,17.0,9.814453125,1.0978618968255521e-05,2.781956117625436,276.6666666666667,1615.0,3098.106712564544
0.0,25,1,0,1,1,1,14940.0,943.3333333333334,0.0,-3.3333333333333712,0.45507319535588087,28.0,10,6,-96.0,17.0,5.0,,,,-49,90.0,124.0,120.0,120.0,100.0,25.0,1.6083998934842878,263.3333333333333,31.0,378.72666666666663,-16.0,22.0,3.9306640625,9.943032768893806e-06,2.8396972583710913,356.6666666666667,1549.0,3482.062104311124
0.0,0,0,0,1,1,1,15880.0,940.0,-3.3333333333333712,16.66666666666663,0.49069596034045815,-127.0,26,9,,,,,,,-90,86.66666666666667,127.0,122.0,133.33333333333334,113.33333333333333,19.0,1.667592956939398,226.66666666666666,-27.0,412.5733333333333,-20.0,31.0,7.0068359375,4.904309551085745e-05,2.7654056958640356,453.3333333333333,1596.0,3525.93793422881
0.0,25,1,0,0,1,1,16836.666666666668,956.6666666666666,16.66666666666663,-30.0,0.41702537094242165,24.0,10,6,-120.0,17.0,5.0,,,,-60,90.0,144.0,153.0,,,,,296.6666666666667,-28.0,436.6733333333333,-20.0,34.0,10.4248046875,9.394040205164646e-05,2.6300335855103087,,1709.0,4192.8721174004195
0.0,25,1,0,0,0,1,17763.333333333332,926.6666666666666,-30.0,-6.666666666666629,0.3698188012392043,22.0,11,6,-102.0,16.0,5.0,,,,-60,90.0,120.0,116.0,,,,,,,,-11.0,28.0,8.203125,9.038810268602636e-05,2.878721810632438,,1651.0,3809.5238095238096
0.0,25,1,0,1,1,0,18683.333333333332,920.0,-6.666666666666629,10.0,0.19118886581830893,34.0,10,6,-96.0,29.0,5.0,,,,-48,130.0,114.0,98.0,160.0,53.333333333333336,5.0,-0.827462298046953,296.6666666666667,-32.0,532.32,16.0,,,,,,1627.0,
0.0,25,1,0,1,1,1,19613.333333333332,930.0,10.0,6.666666666666629,0.11565808675132735,24.0,17,14,-103.0,30.0,6.0,,,,-58,156.66666666666666,121.0,128.0,146.66666666666666,126.66666666666667,22.0,2.793518226679309,303.3333333333333,-25.0,470.78000000000003,2.0,17.0,7.33642578125,5.058988381278405e-06,3.119868132973534,233.33333333333334,1623.0,4037.7804014167646
0.0,0,0,0,1,1,1,20550.0,936.6666666666666,6.666666666666629,3.3333333333333712,0.07679390563564875,-130.0,24,8,,,,,,,-90,80.0,130.0,179.0,256.6666666666667,106.66666666666667,17.0,3.3040076754898386,203.33333333333334,-24.0,406.42,-20.0,15.0,5.6396484375,3.209607942897595e-05,2.903699908410738,266.6666666666667,1522.0,3201.923076923076
0.0,25,1,0,1,1,1,21490.0,940.0,3.3333333333333712,-20.0,0.07625283406366604,28.0,11,5,-123.0,27.0,6.0,,,,-58,126.66666666666667,147.0,102.0,180.0,73.33333333333333,7.0,1.3671360022828036,236.66666666666666,-23.0,482.5733333333334,4.0,18.0,5.126953125,0.00011939290806259736,2.8610153039197703,330.0,1473.0,2164.5021645021648
0.0,25,1,0,1,1,1,22410.0,920.0,-20.0,26.66666666666663,0.07678039287234689,26.0,13,9,-86.0,24.0,5.0,,,,-48,123.33333333333333,111.0,132.0,110.0,90.0,24.0,1.1358769429676467,170.0,-26.0,455.6533333333333,0.0,20.0,5.18798828125,5.1524149752130066e-05,2.3490368288583885,330.0,1430.0,4231.504231504231
0.0,0,0,0,1,1,1,23356.666666666668,946.6666666666666,26.66666666666663,0.0,0.11639215361695082,-122.0,25,10,,,,,,,-90,83.33333333333333,122.0,113.0,240.0,116.66666666666667,10.0,0.32862744256935983,123.33333333333333,-29.0,431.5466666666667,-20.0,13.0,10.75439453125,6.197816574159255e-06,2.9525244208322095,286.6666666666667,1458.0,2544.7960350743424
0.0,25,1,0,1,1,1,24303.333333333332,946.6666666666666,0.0,3.3333333333333712,0.11091549295774647,32.0,10,5,-121.0,26.0,7.0,,,,-54,120.0,146.0,116.0,270.0,150.0,14.0,0.6264437587003648,170.0,-19.0,444.88000000000005,4.0,20.0,6.60400390625,1.1782551499715055e-05,2.958974952093964,226.66666666666666,1533.0,3656.325543916197
0.0,25,1,0,1,1,1,25253.333333333332,950.0,3.3333333333333712,-26.66666666666663,0.0,29.0,9,6,-134.0,28.0,7.0,,,,-63,123.33333333333333,148.0,95.0,260.0,150.0,11.0,0.9824647664597919,166.66666666666666,-21.0,487.7,-3.0,14.0,11.99951171875,5.115616194747635e-06,3.14184727204769,253.33333333333334,1431.0,2373.75533428165
